ymin,lower,middle,upper,ymax,zeta_true,model_name
0.9864398282792448,0.9887310680777283,0.9898833342368316,0.9909602046608564,0.9927327862256925,0.001,Baseline
0.977262486259661,0.9843057625772536,0.9876054793709675,0.9906798397047714,0.9962493822327393,0.001,Behavioral (Exponential)
0.926115977542753,0.9328408395537087,0.9355745011345566,0.9384320425885195,0.9439315135768626,0.005,Baseline
0.9118959707615953,0.9299012625786507,0.9366874558356212,0.9431443930519824,0.9544240006302114,0.005,Behavioral (Exponential)
0.9039963237053669,0.9122305164240542,0.9157157493148895,0.9187593850404572,0.9231166977938762,0.009,Baseline
0.8708941086774429,0.8953717876602397,0.9042129234007019,0.9119711106366304,0.9247747869908318,0.009,Behavioral (Exponential)
0.8902734061830555,0.9015053000667248,0.9056020045440378,0.9093507120625414,0.914481800642353,0.012,Baseline
0.8445102857776953,0.8744343849126932,0.8858213057718503,0.8945038353464166,0.9072279830477494,0.012,Behavioral (Exponential)
0.8754247382899054,0.8874353627714774,0.8931751940983517,0.8975854651550004,0.9036731162959253,0.016,Baseline
0.83820524397069,0.8656302223978637,0.8750570617630608,0.8839247573584125,0.895748178047545,0.016,Behavioral (Exponential)
0.8662485000529041,0.8776928964435579,0.883150897346394,0.887277554053148,0.8956279018371621,0.02,Baseline
0.8329449261155509,0.8581507117315998,0.867615955449186,0.8749740821419343,0.8855202573782119,0.02,Behavioral (Exponential)
