Location,Difference,Baseline,Behavioral (Exponential)
GA,0.1994,0.2254,0.026
WI,0.1401,0.254,0.1139
WA,0.1105,0.1786,0.0681
NC,0.1077,0.144,0.0363
KY,0.1026,0.2154,0.1128
IN,0.0809,0.0896,0.0087
NV,0.0722,0.1456,0.0734
LA,0.0681,0.0842,0.0161
MO,0.0641,0.1214,0.0573
OH,0.0636,0.069,0.0054
MS,0.0544,0.0882,0.0338
MD,0.0477,0.0621,0.0144
IL,0.0462,0.0572,0.011
VA,0.042,0.0805,0.0385
OK,0.0376,0.1005,0.0629
NJ,0.0303,0.0433,0.013
NM,0.0293,0.0488,0.0195
NE,0.0286,0.139,0.1104
KS,0.0286,0.1627,0.1341
MA,0.0243,0.0374,0.0131
MI,0.0235,0.0344,0.0109
CT,0.022,0.033,0.011
MN,0.0208,0.0392,0.0184
NH,0.017,0.0571,0.0401
PA,0.016,0.0471,0.0311
RI,0.0145,0.025,0.0105
DC,0.0138,0.0285,0.0147
DE,0.0048,0.021,0.0162
NY,0.0004,0.0277,0.0273
IA,-0.0024,0.0141,0.0165
