Location,Difference,Baseline,Behavioral (Mixed)
GA,0.1982,0.2248,0.0266
WI,0.1981,0.254,0.0559
FL,0.1831,0.1947,0.0116
CA,0.1626,0.1699,0.0074
KY,0.1569,0.215,0.0581
SC,0.1179,0.1881,0.0703
AL,0.1152,0.1524,0.0372
NC,0.1134,0.1444,0.031
WA,0.1128,0.1784,0.0656
NV,0.1103,0.1455,0.0352
TX,0.1019,0.1274,0.0255
IN,0.0813,0.09,0.0087
LA,0.0672,0.0837,0.0166
MO,0.0669,0.1207,0.0539
OH,0.0626,0.0685,0.0058
OK,0.0618,0.1005,0.0387
KS,0.0566,0.1629,0.1063
NE,0.0543,0.1405,0.0863
MS,0.0536,0.0874,0.0338
OR,0.0484,0.2407,0.1922
MD,0.0465,0.0617,0.0152
IL,0.0457,0.0574,0.0118
VA,0.0427,0.0815,0.0388
TN,0.0359,0.1408,0.1049
NM,0.0342,0.0493,0.0151
UT,0.0335,0.1423,0.1088
NJ,0.028,0.043,0.0149
MA,0.0234,0.0377,0.0143
ME,0.0232,0.2243,0.2012
MI,0.0222,0.0345,0.0123
MN,0.0213,0.0398,0.0185
CT,0.021,0.0331,0.0121
NH,0.0191,0.0569,0.0378
SD,0.0176,0.1907,0.1731
PA,0.0161,0.0472,0.0311
DC,0.0153,0.0286,0.0133
AZ,0.0147,0.0786,0.0639
RI,0.0144,0.0251,0.0107
WV,0.0113,0.1515,0.1402
VT,0.0089,0.1672,0.1584
DE,0.0047,0.0214,0.0167
ND,0.0034,0.0938,0.0904
HI,0.0009,0.2382,0.2373
ID,0.0008,0.1068,0.106
MT,0.0003,0.5139,0.5137
WY,-0.0003,0.5176,0.5179
AK,-0.0011,0.3156,0.3167
AR,-0.0013,0.0888,0.0901
CO,-0.0024,0.2157,0.2182
IA,-0.0029,0.0139,0.0168
NY,-0.0033,0.0277,0.031
