Location,Difference,Baseline,Behavioral (Rational)
GA,0.1887,0.2248,0.0361
FL,0.1738,0.1947,0.0209
CA,0.1605,0.1699,0.0095
WI,0.1108,0.254,0.1431
NC,0.0996,0.1444,0.0447
AL,0.0883,0.1524,0.0641
TX,0.0874,0.1274,0.04
KY,0.0843,0.215,0.1307
IN,0.083,0.09,0.007
WA,0.0783,0.1784,0.1001
SC,0.0694,0.1881,0.1188
LA,0.0669,0.0837,0.0168
OH,0.064,0.0685,0.0045
NV,0.059,0.1455,0.0865
MO,0.0574,0.1207,0.0634
MS,0.0526,0.0874,0.0348
IL,0.0487,0.0574,0.0087
MD,0.0464,0.0617,0.0153
VA,0.0431,0.0815,0.0384
OK,0.0326,0.1005,0.0679
NJ,0.0306,0.043,0.0124
NM,0.0274,0.0493,0.0219
KS,0.0267,0.1629,0.1362
NE,0.0252,0.1405,0.1153
MA,0.0239,0.0377,0.0138
TN,0.0235,0.1408,0.1173
MI,0.0233,0.0345,0.0112
MN,0.022,0.0398,0.0178
CT,0.0209,0.0331,0.0122
OR,0.0189,0.2407,0.2218
PA,0.018,0.0472,0.0292
AZ,0.0166,0.0786,0.062
RI,0.0153,0.0251,0.0098
NH,0.0151,0.0569,0.0418
UT,0.0145,0.1423,0.1279
DC,0.0127,0.0286,0.0159
ME,0.0095,0.2243,0.2149
SD,0.0086,0.1907,0.1821
WV,0.0052,0.1515,0.1462
DE,0.0052,0.0214,0.0162
VT,0.0043,0.1672,0.1629
ND,0.0017,0.0938,0.092
NY,0.0011,0.0277,0.0265
HI,0.0004,0.2382,0.2378
ID,0.0003,0.1068,0.1065
MT,0.0002,0.5139,0.5137
WY,0.0001,0.5176,0.5175
AK,-0.0007,0.3156,0.3163
AR,-0.0008,0.0888,0.0896
IA,-0.002,0.0139,0.0159
CO,-0.0026,0.2157,0.2184
