Location,t*,"P(Baseline|D,t*)","P(Exponential|D,t*)",BF(Exponential:Baseline),P_equal(Exponential|D),Interpretation
Connecticut,12,0.014194222784147266,0.9858057772158527,69.45119801253536,0.9858057772158527,strong
District of Columbia,3,0.46008962465126785,0.5399103753487322,1.1734895690333502,0.5399103753487322,very weak
Delaware,14,0.05703348791917048,0.9429665120808295,16.533558554532544,0.9429665120808295,positive
Georgia,3,0.001727373036467351,0.9982726269635326,577.9137487320626,0.9982726269635327,very strong
Iowa,14,0.5579582533187464,0.44204174668125357,0.7922487821480922,0.44204174668125357,favors Baseline
Illinois,7,0.016071761447019137,0.9839282385529808,61.22093348613459,0.9839282385529808,strong
Indiana,6,0.009490391503245408,0.9905096084967545,104.36973102300702,0.9905096084967546,strong
Kansas,3,0.48468661482221426,0.5153133851777858,1.0631888098803917,0.5153133851777858,very weak
Kentucky,9,0.03121402403103068,0.9687859759689693,31.03688185175592,0.9687859759689692,strong
Louisiana,8,0.057689634637333204,0.9423103653626668,16.334136475062042,0.9423103653626668,positive
Massachusetts,12,0.05640909505975809,0.9435909049402418,16.727637696379105,0.9435909049402419,positive
Maryland,7,0.0359882727408321,0.964011727259168,26.78682953754003,0.964011727259168,strong
Michigan,12,0.11046448501594068,0.8895355149840594,8.05268331134386,0.8895355149840594,positive
Minnesota,8,0.01648473890875871,0.9835152610912412,59.66216793210341,0.9835152610912413,strong
Missouri,9,0.0004296217774010917,0.9995703782225989,2326.628748359298,0.9995703782225989,very strong
Mississippi,8,0.007411294958020675,0.9925887050419794,133.92918655433851,0.9925887050419794,strong
North Carolina,6,0.00027313122251216594,0.9997268687774878,3660.2438182729456,0.9997268687774878,very strong
Nebraska,3,0.44087067326904833,0.5591293267309517,1.2682388750991704,0.5591293267309517,very weak
New Hampshire,14,4.9909392708549076e-05,0.9999500906072915,20035.30871326367,0.9999500906072915,very strong
New Jersey,13,0.051638173101941534,0.9483618268980585,18.36551856754981,0.9483618268980585,positive
New Mexico,12,0.00799245138872375,0.9920075486112762,124.1180584483582,0.9920075486112763,strong
Nevada,3,0.4599678967626473,0.5400321032373526,1.174064770689899,0.5400321032373526,very weak
New York,9,0.9674797694226803,0.03252023057731959,0.03361334428390708,0.0325202305773196,favors Baseline
Ohio,7,0.0052266037133578075,0.9947733962866421,190.328835098836,0.9947733962866422,very strong
Oklahoma,3,0.4612763591613737,0.5387236408386262,1.1678977908559112,0.5387236408386262,very weak
Pennsylvania,12,0.04621053149208796,0.953789468507912,20.640088692146232,0.953789468507912,strong
Rhode Island,12,0.0018859013975987794,0.9981140986024012,529.2504156756277,0.9981140986024012,very strong
Virginia,8,0.00010701235738123571,0.9998929876426188,9343.715175626501,0.9998929876426188,very strong
Washington,8,0.11045189978697229,0.8895481002130278,8.05371480190646,0.8895481002130278,positive
Wisconsin,8,0.0029685126506876656,0.9970314873493124,335.86903768739097,0.9970314873493124,very strong
