Location,t*,"P(Baseline|D,t*)","P(Mixed|D,t*)",BF(Mixed:Baseline),P_equal(Mixed|D),Interpretation
Connecticut,13,0.008143210476726823,0.9918567895232733,121.80168894786468,0.9918567895232732,strong
District of Columbia,11,8.656331712197987e-05,0.999913436682878,11551.237521014353,0.999913436682878,very strong
Delaware,11,0.08566680371587171,0.9143331962841282,10.6731330763392,0.9143331962841282,positive
Georgia,2,0.014856850014193098,0.985143149985807,66.30901900770867,0.9851431499858069,strong
Iowa,14,0.6602746404260891,0.33972535957391087,0.5145212897388864,0.33972535957391087,favors Baseline
Illinois,8,0.027311867007125113,0.9726881329928749,35.614120877899715,0.9726881329928749,strong
Indiana,7,0.007847333884465981,0.992152666115534,126.43181502440315,0.992152666115534,strong
Kansas,5,0.4269832100512404,0.5730167899487596,1.3420124643308442,0.5730167899487596,very weak
Kentucky,7,0.0047270918706887885,0.9952729081293112,210.5465549126908,0.9952729081293112,very strong
Louisiana,9,0.06915572501356444,0.9308442749864355,13.460118808729957,0.9308442749864355,positive
Massachusetts,13,0.04172981892429104,0.9582701810757089,22.96367934915474,0.9582701810757089,strong
Maryland,7,0.07709859001086074,0.9229014099891392,11.970405812338873,0.9229014099891393,positive
Michigan,13,0.07811566188220095,0.921884338117799,11.801530140114641,0.921884338117799,positive
Minnesota,6,0.01245147363752625,0.9875485263624737,79.31177908020462,0.9875485263624737,strong
Missouri,7,0.004695950271522425,0.9953040497284776,211.94944413365783,0.9953040497284775,very strong
Mississippi,6,0.0001979167019389424,0.9998020832980611,5051.630678478573,0.9998020832980611,very strong
North Carolina,3,0.006037426672640619,0.9939625733273594,164.63348165065582,0.9939625733273594,very strong
Nebraska,10,0.0005393774612019819,0.999460622538798,1852.9892226336976,0.999460622538798,very strong
New Hampshire,12,0.0004746834329214786,0.9995253165670784,2105.667160986464,0.9995253165670785,very strong
New Jersey,13,0.21426078494317014,0.7857392150568299,3.6672096355160693,0.7857392150568298,positive
New Mexico,10,0.0014495429765633138,0.9985504570234367,688.8726123808179,0.9985504570234367,very strong
Nevada,3,0.4044539067867463,0.5955460932132537,1.4724696268721253,0.5955460932132538,very weak
New York,9,0.9839263851850001,0.01607361481499999,0.016336196545819626,0.01607361481499999,favors Baseline
Ohio,6,0.025985017692531285,0.9740149823074686,37.483714416997444,0.9740149823074687,strong
Oklahoma,9,0.03366415342841013,0.9663358465715899,28.705187808349038,0.9663358465715899,strong
Pennsylvania,13,0.047938920587160705,0.9520610794128394,19.85987727199319,0.9520610794128394,positive
Rhode Island,12,0.0011717398413657596,0.9988282601586342,852.4317641998222,0.9988282601586342,very strong
Virginia,6,0.009844105057887138,0.9901558949421129,100.58363752922322,0.9901558949421129,strong
Washington,8,0.015262101839018738,0.9847378981609812,64.52177482156638,0.9847378981609812,strong
Wisconsin,5,0.009430622515745198,0.9905693774842549,105.037538702288,0.9905693774842548,strong
Colorado,14,0.809560485551896,0.19043951444810397,0.235238154340348,0.19043951444810397,favors Baseline
