Location,t*,"P(Baseline|D,t*)","P(Rational|D,t*)",BF(Rational:Baseline),P_equal(Rational|D),Interpretation
Connecticut,7,0.3627339175859669,0.6372660824140332,1.7568417275536494,0.6372660824140332,very weak
District of Columbia,3,0.46426307364655534,0.5357369263534447,1.1539511900989623,0.5357369263534446,very weak
Delaware,14,0.05969729743203374,0.9403027025679663,15.751177071935542,0.9403027025679662,positive
Georgia,5,4.624675989624895e-05,0.9999537532401037,21622.13645849835,0.9999537532401037,very strong
Iowa,10,0.2966169552294281,0.7033830447705719,2.371351442895492,0.7033830447705719,very weak
Illinois,7,0.0067439791290216326,0.9932560208709784,147.2804114408748,0.9932560208709784,strong
Indiana,7,0.009961505214182141,0.9900384947858178,99.38643543310155,0.9900384947858178,strong
Kansas,12,0.07201705111296289,0.9279829488870373,12.885600486910281,0.9279829488870371,positive
Kentucky,10,0.02031057572237466,0.9796894242776253,48.23543348396441,0.9796894242776253,strong
Louisiana,8,0.00205986306771825,0.9979401369322817,484.4691633010922,0.9979401369322818,very strong
Massachusetts,11,0.040077768843503954,0.9599222311564961,23.951488789328803,0.959922231156496,strong
Maryland,8,0.003823724077426713,0.9961762759225733,260.52514662432947,0.9961762759225733,very strong
Michigan,12,0.0016147458066135532,0.9983852541933865,618.2925201627872,0.9983852541933864,very strong
Minnesota,11,0.0013034156040032997,0.9986965843959967,766.2149979857602,0.9986965843959967,very strong
Missouri,10,0.0026338720056817873,0.9973661279943181,378.6691706517251,0.9973661279943182,very strong
Mississippi,10,0.008622560389457147,0.9913774396105429,114.97483286086413,0.9913774396105428,strong
North Carolina,7,0.00870297435877029,0.9912970256412297,113.9032455774462,0.9912970256412297,strong
Nebraska,13,0.00145830860971527,0.9985416913902847,684.7259110575002,0.9985416913902847,very strong
New Hampshire,3,0.4461162217751204,0.5538837782248797,1.2415683429330284,0.5538837782248796,very weak
New Jersey,12,0.042044947331322594,0.9579550526686773,22.78407070223682,0.9579550526686774,strong
New Mexico,12,0.045415587116685335,0.9545844128833145,21.018872010411766,0.9545844128833146,strong
Nevada,11,0.025199533582875123,0.9748004664171249,38.683274165025466,0.9748004664171249,strong
New York,10,0.9598689025714556,0.04013109742854435,0.04180893590888769,0.04013109742854435,favors Baseline
Ohio,7,0.01311555028143724,0.9868844497185628,75.24537122283955,0.9868844497185627,strong
Oklahoma,12,0.02672661375099687,0.9732733862490032,36.4158884966376,0.9732733862490032,strong
Pennsylvania,11,0.019731037848886537,0.9802689621511135,49.681571220868754,0.9802689621511135,strong
Rhode Island,12,0.0017188397638462083,0.9982811602361538,580.787797230338,0.9982811602361538,very strong
Virginia,9,0.0018104970269719738,0.9981895029730281,551.3345164904708,0.998189502973028,very strong
Washington,9,0.045792802814574304,0.9542071971854258,20.83749276167332,0.9542071971854257,strong
Wisconsin,9,0.004229065808004293,0.9957709341919958,235.45884112451364,0.9957709341919957,very strong
Colorado,5,0.4674946469860823,0.5325053530139178,1.1390619260497563,0.5325053530139178,very weak
